# 七普 2020 年龄金字塔 —— 单岁 × 男女
# 数据：从 5 岁组公报近似均匀展开（每组人口 / 5 分配到 5 个单岁）
# 单位：人
# 80+ 单独一组，分配到 80..100 衰减分布
age,male,female
0,8320000,7240000
1,8320000,7240000
2,8320000,7240000
3,8320000,7240000
4,8320000,7240000
5,9700000,8740000
6,9700000,8740000
7,9700000,8740000
8,9700000,8740000
9,9700000,8740000
10,9440000,8380000
11,9440000,8380000
12,9440000,8380000
13,9440000,8380000
14,9440000,8380000
15,8060000,7180000
16,8060000,7180000
17,8060000,7180000
18,8060000,7180000
19,8060000,7180000
20,7880000,7200000
21,7880000,7200000
22,7880000,7200000
23,7880000,7200000
24,7880000,7200000
25,9860000,9280000
26,9860000,9280000
27,9860000,9280000
28,9860000,9280000
29,9860000,9280000
30,12520000,12100000
31,12520000,12100000
32,12520000,12100000
33,12520000,12100000
34,12520000,12100000
35,11520000,10740000
36,11520000,10740000
37,11520000,10740000
38,11520000,10740000
39,11520000,10740000
40,9280000,8700000
41,9280000,8700000
42,9280000,8700000
43,9280000,8700000
44,9280000,8700000
45,10260000,9800000
46,10260000,9800000
47,10260000,9800000
48,10260000,9800000
49,10260000,9800000
50,11700000,11320000
51,11700000,11320000
52,11700000,11320000
53,11700000,11320000
54,11700000,11320000
55,8540000,8260000
56,8540000,8260000
57,8540000,8260000
58,8540000,8260000
59,8540000,8260000
60,7800000,7720000
61,7800000,7720000
62,7800000,7720000
63,7800000,7720000
64,7800000,7720000
65,6780000,6740000
66,6780000,6740000
67,6780000,6740000
68,6780000,6740000
69,6780000,6740000
70,4860000,4680000
71,4860000,4680000
72,4860000,4680000
73,4860000,4680000
74,4860000,4680000
75,2880000,2900000
76,2880000,2900000
77,2880000,2900000
78,2880000,2900000
79,2880000,2900000
80,1800000,2300000
81,1500000,2050000
82,1300000,1850000
83,1100000,1650000
84,950000,1500000
85,800000,1350000
86,650000,1150000
87,500000,950000
88,400000,800000
89,300000,650000
90,250000,500000
91,200000,400000
92,150000,300000
93,100000,220000
94,80000,170000
95,60000,130000
96,40000,90000
97,30000,70000
98,20000,50000
99,15000,35000
100,30000,75000
