# 出生性别比（男婴数/100 女婴数）
# 数据稀疏，仅在普查 / 1% 抽样年份可靠。中间年份由 ScenarioBuilder 线性插值。
# Caveat: 1980s-2000s 偏高被广泛证实但严重程度有争议；NBS 数据未充分反映女婴瞒报 +
#   性别选择性流产；最高估计（学者）vs 官方报告差距明显。已补几个 NBS 年度估计点作为
#   辅助锚（accuracy: census_anchor > 1pct_sample > nbs_annual_estimate）。
year,srb,source,quality
1982,108.5,census_3rd,anchor
1987,110.9,census_1pct_1987,anchor
1990,111.3,census_4th,anchor
1995,115.6,sample_1995,anchor
2000,116.9,census_5th,anchor
2005,118.6,sample_1pct_2005,anchor
2010,117.94,census_6th,anchor
2013,117.6,nbs_estimate,interp
2015,113.51,sample_1pct_2015,anchor
2017,111.9,nbs_estimate,interp
2018,111.0,nbs_estimate,interp
2019,110.1,nbs_estimate,interp
2020,111.3,census_7th,anchor
2022,110.5,nbs_estimate,interp
2023,109.7,nbs_estimate,interp
2024,108.5,nbs_estimate,interp
